Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
85,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-058,2002,8,0,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.41,0.44,0.86,0.41,0.86,de31038e
86,Felipe Anderson,br BRA,FWMF,Lazio,it Serie A,29-263,1993,15,15,1217,13.5,3,2,3,0,0,1,0,0.22,0.15,0.37,0.22,0.37,1.7,1.7,3.2,4.9,0.13,0.24,0.37,0.13,0.37,9f1893b9
87,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-153,1990,16,16,1396,15.5,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,0.9,0.9,0.8,1.7,0.06,0.05,0.11,0.06,0.11,ef9c1c95
88,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-186,1995,17,14,1113,12.4,4,1,3,1,2,3,0,0.32,0.08,0.40,0.24,0.32,5.1,3.5,0.5,4.1,0.41,0.04,0.46,0.29,0.33,af3ddb2e
89,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-103,1994,13,12,980,10.9,1,2,1,0,0,4,0,0.09,0.18,0.28,0.09,0.28,0.8,0.8,0.6,1.4,0.07,0.06,0.13,0.07,0.13,e0b113a7
90,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25-364,1997,14,13,1174,13.0,0,3,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.4,0.4,2.8,3.2,0.03,0.22,0.25,0.03,0.25,30941e96
91,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28-294,1994,8,7,510,5.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,fdd26d71
92,Jaidon Anthony,eng ENG,FWMF,Bournemouth,eng Premier League,23-033,1999,12,2,396,4.4,2,0,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,1.0,1.0,0.3,1.3,0.23,0.07,0.30,0.23,0.30,e4238fb1
93,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-138,2002,2,0,52,0.6,1,0,1,0,0,0,0,1.73,0.00,1.73,1.73,1.73,0.2,0.2,0.0,0.2,0.31,0.00,0.31,0.31,0.31,38d9ce53
94,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-167,1996,15,15,1344,14.9,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.7,1.3,0.04,0.04,0.09,0.04,0.09,5e66fa06
95,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-204,2000,8,3,267,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,108fe016
96,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32-281,1990,16,7,720,8.0,2,1,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,2.3,2.3,0.4,2.7,0.28,0.05,0.33,0.28,0.33,ac05f970
97,Antony,br BRA,FW,Manchester Utd,eng Premier League,22-313,2000,8,8,644,7.2,3,0,3,0,0,1,0,0.42,0.00,0.42,0.42,0.42,2.5,2.5,0.4,2.9,0.35,0.05,0.40,0.35,0.40,99127249
98,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-055,2000,4,1,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,8f68aa41
99,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,28-330,1994,10,4,453,5.0,2,2,2,0,0,0,0,0.40,0.40,0.79,0.40,0.79,1.5,1.5,0.8,2.3,0.31,0.15,0.46,0.31,0.46,0a3f6cde
100,Anuar,ma MAR,MFFW,Valladolid,es La Liga,27-353,1995,3,3,210,2.3,1,0,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,0.3,0.3,0.4,0.8,0.15,0.19,0.34,0.15,0.34,c93231dc
