Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
16,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31-273,1991,13,13,1125,12.5,20,1.60,63,43,71.4,2,4,6,1,7.7,3,2,1,0,33.3,f6798fc3
17,Claudio Bravo,cl CHI,GK,Betis,es La Liga,39-265,1983,2,2,180,2.0,1,0.50,8,7,87.5,0,2,0,1,50.0,0,0,0,0,,10072610
18,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23-091,1999,2,2,180,2.0,2,1.00,6,4,66.7,0,1,1,0,0.0,0,0,0,0,,db87a2c4
19,Juan Carlos,es ESP,GK,Girona,es La Liga,34-348,1988,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0,688b96e3
20,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22-186,2000,6,6,540,6.0,7,1.17,26,19,73.1,0,4,2,2,33.3,0,0,0,0,,8ec56e62
21,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23-250,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,,8608f269
22,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30-192,1992,15,15,1350,15.0,20,1.33,71,51,74.6,6,5,4,5,33.3,4,2,1,1,33.3,db401046
23,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,27-289,1995,6,6,540,6.0,13,2.17,15,4,26.7,3,1,2,0,0.0,2,2,0,0,0.0,f5dfc256
24,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21-058,2001,11,11,990,11.0,11,1.00,41,30,75.6,6,2,3,4,36.4,2,1,1,0,50.0,b3d76d84
25,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23-287,1999,15,15,1350,15.0,22,1.47,61,38,65.6,3,5,7,2,13.3,2,1,1,0,50.0,af104654
26,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,35-341,1987,15,15,1350,15.0,22,1.47,45,23,55.6,4,4,7,5,33.3,2,2,0,0,0.0,8cabdc1e
